movie,user_review,source
The Dark Knight Rises,Christopher Nolan’s “Dark Knight Rises” wraps up his post-Sept. 11 epic of ambivalent good vs. multidimensional evil with a burst of light.,NYT
The Dark Knight,"Pitched at the divide between art and industry, poetry and entertainment, “The Dark Knight” goes darker and deeper than any Hollywood movie of its comic-book kind.",NYT
Inception,In Christopher Nolan’s “Inception” a specialist in corporate mental espionage and his co-workers penetrate the minds of their slumbering targets.,NYT
Parasite,"In Bong Joon Ho’s new film, a destitute family occupies a wealthy household in an elaborate scheme that goes comically — then horribly — wrong.",NYT
Seven,Murders based on seven deadly sins. Deadly dull.,NYT
The Silence of the Lambs,"Hannibal the Cannibal. Fast, witty and jolting.",NYT
The Prestige,"Entertaining, spirited and shamelessly gimmicky, Christopher Nolan’s film tells the intricate tale of two rival magicians practicing their art in late-Victorian London. ",NYT
The Departed,"Martin Scorsese's cubistic entertainment about men divided by power, loyalty and their own selves is at once a success and a relief.",NYT
Anna Karenina (Bolshoi Ballet),Bolshoi Ballet version of Tolstoy.,NYT
The Professional,"Italian hit man and orphan girl in New York. Quirky, sentimental, violent.",NYT
SHOT! The Psycho-Spiritual Mantra of Rock,"Mick Rock, the British photographer with the cool name and starry portfolio (Blondie, Lou Reed, David Bowie) is the subject of a new documentary.",NYT
Jimmy P.,“Jimmy P.” unconventionally tells the story of a troubled American Indian and war veteran and the psychoanalyst who tries to unlock the secrets of his personality.,NYT
Seven Psychopaths,"“Seven Psychopaths,” written and directed by Martin McDonagh, finds a writer in trouble in Los Angeles.",NYT
Psychopathia Sexualis,Not even necrophilia and the imaginative deployment of leeches can relieve this exercise in unrelenting dullness.,NYT
Psycho Beach Party,Gidget with multiple personalities. Captures 60's in ways stage production couldn't.,NYT
